,MedInc,Latitude,Longitude
184,2.3929,37.8,-122.23
185,2.1917,37.79,-122.23
186,2.9357,37.79,-122.23
187,1.8854,37.79,-122.23
188,2.1638,37.79,-122.24
189,2.125,37.79,-122.24
190,3.375,37.79,-122.24
191,2.2542,37.79,-122.24
192,2.1,37.79,-122.25
193,1.6,37.79,-122.25
194,3.625,37.79,-122.25
195,1.6929,37.8,-122.26
196,1.6471,37.77,-122.22
197,2.59,37.77,-122.22
198,2.57,37.77,-122.23
199,2.6429,37.78,-122.23
200,3.0257,37.78,-122.23
201,1.4886,37.78,-122.22
202,1.9338,37.78,-122.23
203,1.4844,37.78,-122.23
204,1.6009,37.78,-122.23
205,2.0375,37.79,-122.23
206,2.293,37.79,-122.23
207,2.1494,37.79,-122.22
208,1.6198,37.79,-122.23
209,1.3281,37.79,-122.23
210,3.5156,37.79,-122.22
211,3.9048,37.79,-122.22
212,3.0893,37.79,-122.21
213,2.6042,37.79,-122.22
214,2.5,37.79,-122.22
215,2.7969,37.79,-122.22
216,2.8321,37.79,-122.2
217,2.9583,37.79,-122.21
218,2.8365,37.79,-122.21
219,2.875,37.79,-122.21
220,3.0682,37.8,-122.21
221,3.0757,37.8,-122.21
222,4.9559,37.8,-122.2
223,4.7721,37.8,-122.2
224,3.4861,37.8,-122.21
225,5.1184,37.8,-122.2
226,4.0977,37.8,-122.21
227,4.744,37.8,-122.19
228,4.2727,37.8,-122.19
229,2.9844,37.79,-122.19
230,4.1739,37.79,-122.2
231,3.8487,37.8,-122.2
232,4.0114,37.8,-122.19
233,4.6563,37.79,-122.19
234,2.9297,37.79,-122.19
235,2.3036,37.79,-122.2
236,2.6667,37.79,-122.2
237,2.619,37.79,-122.2
238,2.4167,37.79,-122.21
239,2.7788,37.79,-122.2
240,2.7352,37.78,-122.21
241,1.8472,37.78,-122.21
242,2.6583,37.78,-122.21
243,3.0536,37.78,-122.21
244,2.3906,37.78,-122.22
245,1.7188,37.78,-122.21
246,2.625,37.78,-122.21
247,2.8015,37.77,-122.22
248,1.7276,37.78,-122.22
249,2.0801,37.78,-122.22
250,2.489,37.78,-122.22
251,1.7546,37.76,-122.21
252,4.0904,37.77,-122.21
253,2.6765,37.77,-122.21
254,2.4338,37.77,-122.2
255,2.3309,37.77,-122.21
256,2.2604,37.77,-122.21
257,1.8039,37.77,-122.19
258,2.2562,37.77,-122.2
259,2.0562,37.77,-122.2
260,3.5398,37.78,-122.2
261,3.1167,37.78,-122.2
262,2.5401,37.78,-122.2
263,2.898,37.77,-122.2
264,2.3125,37.78,-122.21
265,2.875,37.78,-122.19
266,3.3715,37.77,-122.19
267,3.5114,37.77,-122.19
268,4.3125,37.78,-122.19
269,3.22,37.78,-122.19
270,3.875,37.78,-122.18
271,5.2328,37.78,-122.19
272,3.7262,37.78,-122.19
273,4.5893,37.78,-122.2
274,5.2578,37.79,-122.18
275,7.0875,37.79,-122.18
276,3.9712,37.79,-122.18
277,2.9514,37.79,-122.19
278,2.6667,37.79,-122.19
279,5.4446,37.81,-122.18
280,6.2838,37.8,-122.18
281,6.7527,37.8,-122.18
282,7.0712,37.77,-122.13
283,5.9849,37.79,-122.16
284,3.6875,37.78,-122.17
285,2.875,37.77,-122.17
286,3.4205,37.78,-122.18
287,3.2984,37.78,-122.18
288,3.875,37.78,-122.17
289,4.175,37.78,-122.17
290,4.375,37.77,-122.16
291,4.7708,37.77,-122.16
292,3.5739,37.77,-122.16
293,3.0958,37.77,-122.16
294,3.3958,37.77,-122.17
295,1.871,37.77,-122.17
296,1.9356,37.76,-122.17
297,2.1842,37.76,-122.17
298,2.2917,37.76,-122.18
299,2.4333,37.76,-122.17
300,1.9479,37.76,-122.18
301,3.9063,37.76,-122.18
302,1.8407,37.76,-122.18
303,2.0786,37.77,-122.18
304,2.8125,37.77,-122.18
305,1.8913,37.76,-122.18
306,1.7056,37.76,-122.19
307,2.2768,37.77,-122.18
308,3.2552,37.77,-122.18
309,2.0556,37.77,-122.18
310,2.4659,37.76,-122.19
311,1.75,37.76,-122.2
312,2.0469,37.77,-122.19
313,2.7159,37.77,-122.19
314,1.2083,37.76,-122.19
315,1.925,37.76,-122.19
316,1.5809,37.75,-122.2
317,1.4097,37.76,-122.2
318,0.7683,37.76,-122.19
319,1.3194,37.75,-122.19
320,0.8012,37.75,-122.19
321,1.9479,37.76,-122.19
322,1.1765,37.74,-122.19
323,2.3456,37.74,-122.18
324,2.1538,37.73,-122.19
325,2.5139,37.74,-122.19
326,1.2625,37.73,-122.19
327,2.9063,37.73,-122.18
328,2.5192,37.73,-122.18
329,2.1111,37.73,-122.18
330,2.455,37.73,-122.18
331,2.4028,37.74,-122.17
332,2.15,37.74,-122.17
333,2.4776,37.74,-122.17
334,2.1587,37.73,-122.17
335,1.8438,37.74,-122.18
336,3.0298,37.74,-122.17
337,2.25,37.74,-122.17
338,2.2467,37.74,-122.18
339,4.0469,37.75,-122.18
340,1.325,37.75,-122.18
341,1.6196,37.75,-122.17
342,2.1731,37.75,-122.18
343,1.9167,37.75,-122.19
344,2.069,37.75,-122.18
345,1.712,37.75,-122.18
346,2.5625,37.76,-122.17
347,1.9821,37.75,-122.17
348,2.5043,37.75,-122.17
349,2.3281,37.75,-122.17
350,1.4375,37.75,-122.17
351,2.5122,37.76,-122.16
352,1.5625,37.75,-122.16
353,3.1587,37.75,-122.17
354,1.8426,37.76,-122.17
355,4.6696,37.76,-122.16
356,2.4598,37.76,-122.16
357,6.0749,37.76,-122.15
358,4.8304,37.77,-122.14
359,5.5701,37.76,-122.14
360,5.37,37.76,-122.13
361,6.86,37.75,-122.12
362,7.6923,37.75,-122.12
363,4.0313,37.75,-122.14
364,6.8323,37.75,-122.14
365,4.975,37.75,-122.13
366,5.3602,37.75,-122.13
367,5.0,37.74,-122.13
368,2.925,37.75,-122.16
369,3.8913,37.75,-122.15
370,3.225,37.75,-122.15
371,3.1458,37.74,-122.15
372,2.537,37.75,-122.16
373,2.5568,37.75,-122.16
374,3.5083,37.74,-122.15
375,3.3125,37.74,-122.15
376,1.8235,37.75,-122.16
377,3.8047,37.75,-122.16
378,2.2917,37.74,-122.17
379,2.4962,37.75,-122.17
380,4.0417,37.74,-122.16
381,3.4844,37.74,-122.16
382,4.1458,37.74,-122.16
383,2.625,37.74,-122.16
384,2.0227,37.74,-122.16
385,3.3333,37.9,-122.29
386,5.337999999999999,37.9,-122.29
387,3.4732,37.89,-122.29
388,3.5125,37.9,-122.3
389,3.1375,37.89,-122.29
390,2.8036,37.89,-122.3
391,4.5824,37.9,-122.3
392,3.0208,37.89,-122.3
393,4.0875,37.89,-122.3
394,4.5268,37.89,-122.33
395,1.7375,37.88,-122.34
396,3.1795,37.89,-122.29
397,3.8672,37.88,-122.29
398,5.1675,37.89,-122.29
399,5.1696,37.89,-122.29
400,4.2614,37.88,-122.28
401,5.0551,37.89,-122.29
402,5.6228,37.9,-122.27
403,7.8864,37.9,-122.26
404,7.9556,37.9,-122.27
405,6.174,37.9,-122.27
406,6.9414,37.9,-122.27
407,8.8342,37.89,-122.27
408,7.1754,37.9,-122.28
409,10.0825,37.9,-122.28
410,4.9083,37.9,-122.28
411,5.7912,37.89,-122.28
412,4.5893,37.89,-122.28
413,5.4171,37.89,-122.28
414,4.125,37.89,-122.28
415,7.266,37.89,-122.27
416,5.3989,37.89,-122.27
417,7.8336,37.9,-122.26
418,6.1593,37.89,-122.25
419,6.381,37.89,-122.26
420,6.6828,37.89,-122.26
421,7.5385,37.89,-122.25
422,6.7138,37.89,-122.25
423,6.2425,37.88,-122.26
424,5.7979,37.88,-122.26
425,4.2813,37.88,-122.27
426,3.5417,37.88,-122.27
427,3.0132,37.88,-122.27
428,4.1429,37.88,-122.28
429,4.1912,37.88,-122.28
430,3.9167,37.88,-122.28
431,3.8897,37.88,-122.29
432,3.1065,37.88,-122.29
433,2.9926,37.88,-122.29
434,3.556,37.88,-122.29
435,1.475,37.88,-122.3
436,1.6971,37.88,-122.3
437,2.1705,37.87,-122.3
438,2.75,37.86,-122.3
439,2.5682,37.85,-122.29
440,2.9,37.88,-122.3
441,2.2208,37.87,-122.3
442,3.2344,37.88,-122.28
443,3.5156,37.87,-122.28
444,1.9805,37.87,-122.28
445,2.6684,37.87,-122.29
446,3.875,37.87,-122.29
447,3.006,37.88,-122.28
448,2.543,37.87,-122.28
449,2.8676,37.87,-122.28
450,2.1907,37.88,-122.27
451,1.7778,37.87,-122.27
452,2.52,37.88,-122.27
453,4.2788,37.88,-122.26
454,2.944,37.88,-122.26
455,1.725,37.88,-122.26
456,5.2289,37.87,-122.25
457,2.5562,37.87,-122.25
458,0.949,37.87,-122.25
459,1.1696,37.87,-122.25
460,1.4012,37.87,-122.26
461,1.1859,37.87,-122.26
462,1.7464,37.87,-122.27
463,2.8846,37.87,-122.27
464,2.7372,37.87,-122.27
465,3.8594,37.86,-122.28
466,3.5625,37.87,-122.28
467,2.2788,37.87,-122.28
468,2.537,37.87,-122.29
469,2.525,37.87,-122.29
470,1.9946,37.86,-122.29
471,2.8214,37.86,-122.28
472,2.6165,37.87,-122.29
473,1.9483,37.86,-122.29
474,1.9327,37.86,-122.28
475,1.9798,37.86,-122.28
476,2.4167,37.85,-122.28
477,2.5417,37.86,-122.27
478,3.3906,37.86,-122.28
479,2.5652,37.86,-122.28
480,2.2845,37.86,-122.28
481,2.6071,37.86,-122.27
482,3.15,37.86,-122.27
483,2.6914,37.86,-122.27
484,1.8447,37.86,-122.27
485,1.6307,37.86,-122.26
486,2.9044,37.86,-122.26
487,2.9405,37.86,-122.26
488,3.3893,37.86,-122.26
489,3.0417,37.86,-122.25
490,7.0897,37.86,-122.25
491,5.0463,37.86,-122.25
492,1.7652,37.86,-122.25
493,7.8521,37.86,-122.24
494,9.3959,37.85,-122.24
495,5.3794,37.86,-122.25
496,3.2619,37.85,-122.26
497,2.7054,37.85,-122.27
498,2.2431,37.85,-122.27
499,1.9028,37.85,-122.27
500,1.5817,37.85,-122.27
501,2.2841,37.85,-122.27
502,1.3785,37.85,-122.27
503,2.9018,37.85,-122.28
504,1.73,37.85,-122.28
505,2.2625,37.85,-122.28
506,2.2106,37.84,-122.29
507,2.6997,37.83,-122.28
508,4.0018,37.84,-122.3
509,7.8772,37.83,-122.23
510,11.8603,37.82,-122.22
511,13.499,37.82,-122.22
512,12.2138,37.82,-122.23
513,8.1872,37.82,-122.23
514,12.3804,37.82,-122.23
515,5.8948,37.83,-122.24
516,8.1194,37.83,-122.24
517,8.7477,37.82,-122.23
518,6.155,37.82,-122.24
519,5.882999999999999,37.82,-122.25
520,5.2128,37.76,-122.23
521,4.7188,37.76,-122.23
522,5.2915,37.76,-122.23
523,2.6411,37.77,-122.24
524,3.3214,37.77,-122.23
525,3.6417,37.77,-122.24
526,3.0161,37.77,-122.25
527,3.1771,37.77,-122.25
528,3.4531,37.77,-122.25
529,4.3098,37.77,-122.25
530,3.3438,37.78,-122.26
531,2.9213,37.78,-122.26
532,2.6806,37.78,-122.27
533,3.7708,37.78,-122.27
534,3.9444,37.78,-122.27
535,5.2601,37.78,-122.27
536,2.5444,37.79,-122.28
537,2.6447,37.77,-122.3
538,2.5762,37.78,-122.28
539,1.9427,37.78,-122.29
540,2.9688,37.77,-122.28
541,3.75,37.77,-122.28
542,5.1702,37.76,-122.29
543,2.5139,37.78,-122.28
544,2.9732,37.77,-122.26
545,5.5337,37.77,-122.27
546,4.1667,37.77,-122.27
547,2.7115,37.77,-122.27
548,3.3269,37.77,-122.27
549,3.2685,37.77,-122.25
550,4.7778,37.77,-122.26
551,4.226,37.77,-122.26
552,3.3571,37.77,-122.26
553,2.9899,37.77,-122.26
554,2.875,37.77,-122.26
555,2.3882,37.77,-122.24
556,2.975,37.77,-122.25
557,5.1039,37.76,-122.23
558,4.1458,37.76,-122.23
559,3.4762,37.76,-122.24
560,2.6833,37.76,-122.24
561,5.75,37.76,-122.23
562,3.9632,37.75,-122.23
563,4.9489,37.75,-122.24
564,4.8711,37.75,-122.24
565,3.0718,37.76,-122.24
566,3.6719,37.76,-122.24
567,4.6094,37.76,-122.24
568,4.5213,37.73,-122.24
569,4.4562,37.74,-122.25
570,7.611000000000001,37.72,-122.24
571,3.2689,37.73,-122.27
572,3.567,37.76,-122.25
573,3.6875,37.74,-122.27
574,4.7695,37.77,-122.27
575,3.1972,37.75,-122.28
576,7.2634,37.77,-122.06
577,7.0568,37.73,-122.06
578,4.635,37.71,-122.06
579,5.3015,37.71,-122.07
580,4.9801,37.71,-122.07
581,5.4834,37.72,-122.07
582,6.187,37.72,-122.08
583,5.6194,37.72,-122.08
584,5.4639,37.71,-122.08
585,5.1498,37.71,-122.09
586,5.8382,37.72,-122.1
587,4.65,37.71,-122.11
588,4.3819,37.7,-122.1
589,3.7222,37.69,-122.1
590,5.2855,37.71,-122.09
591,4.3375,37.7,-122.09
592,5.2131,37.71,-122.1
593,6.005,37.7,-122.09
594,5.0519,37.71,-122.08
595,4.8237,37.71,-122.08
596,5.2497,37.7,-122.08
597,4.125,37.7,-122.07
598,4.6005,37.7,-122.06
599,3.5187,37.7,-122.06
600,3.0,37.7,-122.07
601,3.4934,37.7,-122.08
602,2.9861,37.7,-122.09
603,2.5362,37.69,-122.07
604,3.3021,37.69,-122.08
605,3.0964,37.69,-122.07
606,2.8512,37.69,-122.08
607,3.3478,37.69,-122.08
608,2.3958,37.68,-122.08
609,3.5295,37.68,-122.08
610,4.8036,37.69,-122.09
611,3.851,37.74,-122.15
612,4.0662,37.74,-122.14
613,4.6042,37.73,-122.14
614,2.2,37.74,-122.15
615,4.1164,37.73,-122.16
616,3.95,37.74,-122.15
617,4.9135,37.73,-122.15
618,2.8355,37.73,-122.15
619,3.25,37.73,-122.17
620,2.8301,37.73,-122.16
621,3.7159,37.73,-122.17
622,2.5625,37.73,-122.16
623,3.8047,37.72,-122.18
624,3.375,37.71,-122.18
625,3.244,37.71,-122.17
626,4.0268,37.7,-122.18
627,3.3906,37.7,-122.18
628,5.5461,37.71,-122.19
629,3.3710000000000004,37.72,-122.17
630,3.5313,37.72,-122.17
631,3.663,37.72,-122.17
632,2.875,37.72,-122.16
633,4.0202,37.72,-122.17
634,4.5553,37.71,-122.16
635,3.4643,37.71,-122.16
636,3.3431,37.72,-122.16
637,2.1898,37.73,-122.15
638,2.9097,37.72,-122.15
639,3.375,37.72,-122.15
640,2.8125,37.72,-122.15
641,5.0,37.73,-122.14
642,3.0673,37.73,-122.14
643,3.8125,37.73,-122.14
644,6.9096,37.73,-122.13
645,7.912000000000001,37.72,-122.13
646,3.8393,37.72,-122.13
647,4.0,37.71,-122.12
648,6.5095,37.72,-122.13
649,3.5156,37.72,-122.14
650,2.983,37.72,-122.14
651,3.524,37.72,-122.13
652,3.1103,37.71,-122.13
653,3.5781,37.71,-122.13
654,3.1682,37.71,-122.15
655,2.6101,37.71,-122.14
656,3.6932,37.71,-122.14
657,3.4583,37.7,-122.13
658,3.9032,37.7,-122.13
659,4.0208,37.71,-122.15
660,3.5547,37.7,-122.15
661,4.5859,37.7,-122.14
662,2.6321,37.7,-122.13
663,3.395,37.69,-122.13
664,3.9702,37.7,-122.14
665,5.0043,37.7,-122.16
666,4.4659,37.69,-122.14
667,3.6625,37.69,-122.15
668,3.8864,37.69,-122.15
669,3.4583,37.7,-122.15
670,3.7813,37.69,-122.16
671,2.9917,37.7,-122.16
672,4.4375,37.7,-122.16
673,4.0,37.7,-122.17
674,2.3869,37.68,-122.16
675,4.7609,37.69,-122.17
676,5.4858,37.68,-122.18
677,4.3971,37.69,-122.16
678,4.0109,37.69,-122.15
679,4.3864,37.68,-122.15
680,4.2841,37.68,-122.15
681,5.1312,37.69,-122.15
682,2.9958,37.69,-122.14
683,3.6364,37.68,-122.14
684,2.7955,37.68,-122.14
685,2.9507,37.69,-122.1
686,3.4375,37.69,-122.12
687,2.875,37.69,-122.13
688,3.0345,37.71,-122.12
689,2.679,37.7,-122.12
690,2.9922,37.7,-122.12
691,4.1042,37.69,-122.12
692,2.5833,37.7,-122.12
693,2.1552,37.7,-122.11
694,2.3274,37.7,-122.11
695,2.4206,37.7,-122.11
696,3.9063,37.69,-122.1
697,2.6464,37.69,-122.11
698,3.4643,37.69,-122.11
699,2.3973,37.69,-122.12
700,6.5,37.69,-122.03
701,6.0574,37.64,-121.97
702,3.8958,37.63,-122.02
703,4.7813,37.63,-122.04
704,3.2829,37.63,-122.05
705,5.3169,37.66,-122.04
706,6.2579,37.65,-122.04
707,5.1701,37.68,-122.05
708,3.25,37.68,-122.07
709,3.1796,37.68,-122.06
710,2.4196,37.68,-122.08
711,2.6563,37.68,-122.08
712,0.9637,37.67,-122.08
713,2.3357,37.67,-122.09
714,3.5114,37.68,-122.09
715,3.3125,37.69,-122.09
716,2.4042,37.68,-122.09
717,2.8322,37.68,-122.09
718,2.5156,37.68,-122.09
719,3.4032,37.68,-122.1
720,2.535,37.68,-122.1
721,2.5772,37.68,-122.11
722,3.0962,37.68,-122.1
723,2.9564,37.67,-122.1
724,3.125,37.68,-122.1
725,2.95,37.68,-122.12
726,4.38,37.68,-122.12
727,4.0417,37.68,-122.12
728,3.8,37.67,-122.11
729,3.4839,37.68,-122.12
730,4.0588,37.68,-122.13
731,4.1974,37.68,-122.13
732,3.6,37.68,-122.13
733,4.267,37.68,-122.14
734,4.2386,37.67,-122.14
735,5.5797,37.67,-122.15
736,4.0682,37.67,-122.14
737,3.1734,37.67,-122.13
738,4.7933,37.67,-122.14
739,4.8125,37.67,-122.14
740,3.8676,37.67,-122.13
741,3.9395,37.67,-122.12
742,3.2434,37.67,-122.13
743,3.0917,37.67,-122.11
744,3.0645,37.67,-122.11
745,2.7019,37.67,-122.09
746,3.1115,37.67,-122.09
747,3.4722,37.66,-122.09
748,2.2222,37.66,-122.09
749,6.1104,37.68,-122.05
750,4.2733,37.67,-122.06
751,3.2465,37.67,-122.07
752,3.2417,37.67,-122.07
753,3.875,37.67,-122.07
754,6.0501,37.67,-122.04
755,6.8233,37.67,-122.04
756,6.3501,37.66,-122.04
757,2.6719,37.66,-122.07
758,3.875,37.66,-122.07
759,2.5625,37.66,-122.08
760,3.016,37.65,-122.07
761,2.7694,37.65,-122.08
762,3.6818,37.65,-122.08
763,2.1382,37.66,-122.08
764,3.7303,37.66,-122.1
765,3.875,37.66,-122.1
766,3.0489,37.66,-122.1
767,2.8203,37.65,-122.09
768,4.3897,37.65,-122.09
769,4.7143,37.65,-122.09
770,4.6875,37.66,-122.1
771,3.2091,37.66,-122.11
772,4.275,37.66,-122.1
773,4.1302,37.66,-122.11
774,3.09,37.66,-122.11
775,4.5417,37.65,-122.1
776,4.6635,37.64,-122.1
777,4.4427,37.65,-122.1
778,4.5303,37.65,-122.1
779,2.375,37.65,-122.12
780,3.8171,37.63,-122.1
781,4.5281,37.61,-122.1
782,4.3456,37.66,-122.13
783,3.4861,37.65,-122.11
784,5.2312,37.64,-122.11
785,3.6708,37.64,-122.11
786,3.8875,37.64,-122.12
787,3.9167,37.63,-122.09
788,3.9063,37.64,-122.09
789,3.7895,37.63,-122.1
790,3.8,37.64,-122.08
791,5.7309,37.64,-122.08
792,4.1141,37.64,-122.09
793,5.2838,37.64,-122.09
794,3.3479,37.64,-122.08
795,3.142,37.64,-122.08
796,3.7614,37.63,-122.08
797,4.25,37.63,-122.08
798,3.9338,37.64,-122.08
799,2.5158,37.64,-122.07
800,2.4808,37.63,-122.07
801,4.7083,37.64,-122.07
802,4.1652,37.64,-122.06
803,3.5541,37.64,-122.06
804,3.8036,37.65,-122.06
805,3.8259,37.64,-122.06
806,3.2331,37.63,-122.04
807,4.7109,37.62,-122.03
808,4.2468,37.62,-122.03
809,6.396,37.62,-122.04
810,3.8125,37.62,-122.04
811,3.2857,37.62,-122.04
812,3.8929,37.62,-122.03
813,3.7262,37.61,-122.03
814,4.0125,37.61,-122.03
815,4.1719,37.61,-122.04
816,4.2857,37.62,-122.04
817,3.6458,37.63,-122.08
818,2.6875,37.62,-122.08
819,3.7292,37.63,-122.07
820,4.5913,37.63,-122.07
821,3.8625,37.63,-122.06
822,3.3611,37.63,-122.06
823,2.8971,37.61,-122.05
824,4.0326,37.63,-122.08
825,4.0682,37.63,-122.08
826,5.3644,37.63,-122.09
827,4.7019,37.63,-122.09
828,5.64,37.62,-122.08
829,3.7931,37.61,-122.08
830,4.6458,37.61,-121.99
831,3.694,37.6,-122.02
832,2.652,37.6,-122.02
833,3.5,37.6,-122.02
834,3.2386,37.6,-122.02
835,5.097,37.61,-122.03
836,4.3875,37.6,-122.04
837,4.625,37.6,-122.06
838,5.0406,37.61,-122.08
839,5.8704,37.6,-122.06
840,5.3226,37.6,-122.06
841,4.235,37.59,-122.08
842,4.825,37.59,-122.07
843,5.5218,37.58,-122.08
844,6.5116,37.58,-122.07
845,6.0661,37.58,-122.07
846,6.0074,37.58,-122.08
847,4.6211,37.59,-122.07
848,5.225,37.58,-122.07
849,5.3428,37.59,-122.04
850,3.7462,37.59,-122.05
851,4.5721,37.6,-122.03
852,3.6923,37.59,-122.02
853,4.6786,37.59,-122.03
854,2.875,37.59,-122.01
855,3.3617,37.58,-122.02
856,5.7579,37.58,-122.01
857,2.9706,37.6,-122.09
858,3.9022,37.6,-122.08
859,4.6146,37.57,-121.97
860,5.7192,37.58,-121.96
861,3.6832,37.58,-121.98
862,6.2073,37.58,-121.99
863,5.8151,37.58,-122.0
864,5.8322,37.57,-122.01
865,5.6277,37.58,-122.04
866,5.2879,37.57,-122.04
867,6.5615,37.57,-122.07
868,5.6758,37.58,-122.06
869,6.1047,37.57,-122.05
870,3.5714,37.49,-121.93
871,6.0824,37.52,-122.07
872,4.3594,37.56,-122.02
873,5.5737,37.56,-122.02
874,4.8962,37.56,-122.03
875,4.6978,37.56,-122.03
876,4.4259,37.56,-122.01
877,3.3008,37.55,-122.01
878,4.5687,37.55,-122.02
879,3.8179,37.56,-122.01
